method_id,nombre_de_la_funcion,firma
0x2646478b,processRoute,"processRoute(address,uint256,address,uint256,address,bytes)"
0x8e1a55fc,build,build()
0xf39b5b9b,ethToTokenSwapInput,"ethToTokenSwapInput(uint256,uint256)"
0x095ea7b3,_SIMONdotBLACK_,"_SIMONdotBLACK_(int8[],int224[],int256,int64,uint248[])"
0xddf7e1a7,tokenToTokenSwapInput,"tokenToTokenSwapInput(uint256,uint256,uint256,uint256,address)"
0xc2998238,enterMarkets,enterMarkets(address[])
0xf3541901,execute,"execute(address,bytes,uint256,uint256)"
0xa0712d68,mint,mint(uint256)
0x1249c58b,mint,mint()
0xc5ebeaec,borrow,borrow(uint256)
0x852a12e3,redeemUnderlying,redeemUnderlying(uint256)
0xdb006a75,redeem,redeem(uint256)
0x4e07008d,mintWithEther,"mintWithEther(address,uint256)"
0x546cb17e,burnToEther,"burnToEther(address,uint256,uint256)"
0x4254b155,register,"register(bytes32,string,address,address,address)"
0x0bde6eb7,burnToToken,"burnToToken(address,address,uint256,uint256)"
0x39039497,mintWithToken,"mintWithToken(address,address,uint256,uint256)"
0x6b1d4db7,ethToTokenSwapOutput,"ethToTokenSwapOutput(uint256,uint256)"
0xd2d0e066,deposit,"deposit(address,uint256,uint16)"
0x082fef45,LetsInvest,LetsInvest()
0xfbabdebd,swapSaiToDai,swapSaiToDai(uint256)
0xa9059cbb,workMyDirefulOwner,"workMyDirefulOwner(uint256,uint256)"
0x1cff79cd,execute,"execute(address,bytes)"
0x29589f61,tradeWithHint,"tradeWithHint(address,uint256,address,address,uint256,uint256,address,bytes)"
0x8f6ede1f,mintWithEther,mintWithEther(address)
0x40c10f19,cat642998653,"cat642998653(address,uint256)"
0x9dc29fac,burn,"burn(address,uint256)"
0x81a6b250,burnToEther,"burnToEther(address,uint256)"
0x5a3b74b9,setUserUseReserveAsCollateral,"setUserUseReserveAsCollateral(address,bool)"
0x95e3c50b,tokenToEthSwapInput,"tokenToEthSwapInput(uint256,uint256,uint256)"
0x422f1043,addLiquidity,"addLiquidity(uint256,uint256,uint256)"
0x03152429,newAccount,newAccount(address)
0xf88bf15a,removeLiquidity,"removeLiquidity(uint256,uint256,uint256,uint256)"
0xf88309d7,swap,"swap(address,address,uint256,uint256,uint256,address,address[],bytes,uint256[],uint256[])"
0xa67a6a45,operate,"operate((address,uint256)[],(uint8,uint256,(bool,uint8,uint8,uint256),uint256,uint256,address,uint256,bytes)[])"
0xab832b43,splitTransfer,"splitTransfer(address,address,uint256,uint256,address)"
0x23440944,depositPool,depositPool(uint256)
0xc858f5f9,borrow,"borrow(address,uint256,uint256,uint16)"
0x3ccfd60b,withdraw,withdraw()
0x5ceae9c4,repay,"repay(address,uint256,address)"
0xfc6f4e16,swap,"swap(address,address,uint256,uint256,address[],bytes,uint256[],uint256[],string,uint256)"
